Store Name,Street Address,Address,Borough,"Zip 
Code",Year Awarded,"Program 
Wave",Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Los Primos Grocery,1798 Crotona Avenue,,Bronx,10457,2015,3,40.842792,-73.893526,206,15,2009916,2029480001,36902,BX0602
Mills Grocery,1570 Bathgate Avenue,,Bronx,10457,2015,3,40.838762,-73.901563,203,15,2009581,2029190001,167,BX0302
Naranjal Grocery,200 East Tremont Avenue,,Bronx,10457,2015,3,40.84911,-73.905415,205,15,2007593,2028040005,23302,BX0502
Omale New York Grocery,2172 Crotona Avenue,,Bronx,10457,2015,3,40.850259,-73.88648,206,15,2012768,2030980025,371,BX0602
Vasquez Deli Grocery,1959 Clinton Avenue,,Bronx,10457,2015,3,40.845028,-73.890002,206,15,2012627,2030920044,371,BX0602
Webster Food Corp,2031 Webster Avenue,,Bronx,10457,2015,3,40.85091,-73.899032,205,15,2013300,2031420074,379,BX0502
Almontaser Enterprises LLC,2792 Fulton Street,,Brooklyn,11207,2016,3,40.678053,-73.891478,305,37,3397940,3039470017,1198,BK0502
Habibi Gourmet Deli,2761 Fulton Street,,Brooklyn,11207,2016,3,40.677879,-73.892772,305,37,3083215,3036640045,1146,BK0501
J & K Grocery,2737 Fulton Street,,Brooklyn,11207,2016,3,40.677742,-73.893678,305,37,3083171,3036630042,1146,BK0501
La Vega Grocery,2772 Fulton Street,,Brooklyn,11207,2016,3,40.677936,-73.892268,305,37,3087748,3039460014,1198,BK0502
Marien Groceries Corp.,99 Jamaica Avenue,,Brooklyn,11207,2016,3,40.678656,-73.896416,305,37,3080596,3034860007,114201,BK0501
One Apple Grocery Store,609 Wilson Avenue,,Brooklyn,11207,2016,3,40.69016,-73.907173,304,37,3079530,3034300008,409,BK0402
Plaza Meat Market,100 Cooper Street,,Brooklyn,11207,2016,3,40.68619,-73.908898,304,37,3079921,3034390035,403,BK0402
Shorty Meat Farm,2949 Fulton Street,,Brooklyn,11207,2016,3,40.679552,-73.885909,305,37,3339498,3039390027,117201,BK0501
Sunny Supermarket,200 Jamaica Avenue,,Brooklyn,11207,2016,3,40.68039,-73.892682,305,37,3342632,3039170007,1146,BK0501
VLT Mini Market Inc.,2837 Fulton Street,,Brooklyn,11207,2016,3,40.678348,-73.889747,305,37,3087552,3039350052,1146,BK0501
Comidas Dominicanas Capellan Deli,1626 Park Avenue,,New York,10029,2015,3,40.798917,-73.943533,111,8,1051645,1016210035,184,MN1102
Deli Superette,1858 Lexington Avenue,,New York,10029,2015,3,40.798118,-73.942006,111,8,1052235,1016430015,182,MN1102
Puchito Grocery,2122 2nd Avenue,,New York,10029,2015,3,40.792642,-73.940956,111,8,1052825,1016810001,180,MN1102
Annabelle Deli,2121 2nd Avenue,,New York,10029,2015,3,40.792729,-73.940913,111,8,1052437,1016590021,180,MN1102
Juice Bar Deli,308 East 116th Street,,New York,10029,2015,3,40.796768,-73.937236,111,8,1052929,1016870046,188,MN1102
AA Deli and Grocery,21012 2nd Avenue,,New York,10029,2015,3,,,,,,,,
Mini Market Corps,1690 Lexington Avenue,,New York,10029,2015,3,40.79235,-73.946215,111,8,1052019,1016340015,172,MN1101
Madison Deli and Grocery,1550 Madison Avenue,,New York,10029,2015,3,40.792753,-73.950144,111,8,1051507,1016100058,168,MN1101
El Tepeyac Grocery,1621 Lexington Avenue,,New York,10029,2015,3,40.789922,-73.947961,111,8,1051884,1016300021,166,MN1101
Mi Mexico Mini Market,172 East 104th Street,,New York,10029,2015,3,40.790605,-73.946469,111,8,1051933,1016310045,166,MN1101
East Side Gourmet Deli,1863 3rd Avenue,,New York,10029,2015,3,40.789515,-73.946163,111,8,,,164,MN1101
2015 Food Deli,2015 1st Avenue,,New York,10029,2015,3,40.788176,-73.941133,111,8,1052687,1016750029,164,MN1101
JJ Food  Market,153 East 99th Street,,New York,10029,2015,3,40.78771,-73.949288,111,8,1051758,1016270023,166,MN1101
Deli Mini Mart,339 East 115th Street,,New York,10029,2015,3,40.79565,-73.936703,111,8,1052907,1016870021,188,MN1102
Cherry Deli Gourmet,1575 Lexington Avenue,,New York,10029,2015,3,40.78874,-73.948825,111,8,1051813,1016280050,166,MN1101
Cherry Valley Market,309 East 115th Street,,New York,10029,2015,3,40.796167,-73.937941,111,8,1052901,1016870005,188,MN1102
Super Fi Emporium,1635 Lexington Avenue,,New York,10029,2015,3,40.790501,-73.947538,111,8,1089312,1016317501,166,MN1101
NYC Fresh Market,1656 Madison Avenue,,New York,10029,2015,3,40.796358,-73.947512,111,9,1085254,1016160001,17402,MN1101
Fine Fare,1718 Madison Avenue,,New York,10029,2015,3,40.798265,-73.94612,111,8,1080504,1016180001,184,MN1102
City Fresh Market,235 East 106th Street,,New York,10029,2015,3,40.791026,-73.943359,111,8,1084323,1016560001,170,MN1101
1408 Deli & Grocery Corp.,1408 Fulton Avenue,,Bronx,10456,2016,4,40.834741,-73.901771,203,15,2009720,2029320015,149,BX0301
2009 Melissa Deli Corp.,621 East 170th Street,,Bronx,10456,2016,4,40.834199,-73.900167,203,15,2009800,2029360001,149,BX0301
99 Cent Deli Square,3754 3rd AVE,,Bronx,10456,2016,4,40.836328,-73.902603,203,16,2009632,2029270007,169,BX0302
Associated Supermarket,724 East 161st Street,,Bronx,10456,2016,4,40.821432,-73.905183,201,17,2098384,2026470045,77,BX0102
Baraka African Market,1345 Webster Avenue,,Bronx,10456,2016,4,40.835103,-73.908051,204,16,2009309,2028870165,17702,BX0403
College Ave.  Deli and Market Inc.,288 East 168th Street,,Bronx,10456,2016,4,40.833333,-73.912802,204,16,2002293,2024350015,175,BX0401
First Food Market,3706 3rd Avenue,,Bronx,10456,2016,4,40.835694,-73.903052,203,16,2009624,2029260002,14702,BX0302
Food Bazaar,535 East 170th Street,,Bronx,10456,2016,4,40.834931,-73.903144,203,16,2009624,2029260002,14702,BX0302
Key Food Supermarket.,340 Pennsylvania Avenue,,Bronx,10456,2016,4,,,,,,,,
La Hermadad Supermarket Inc.,193 McClellan Street,,Bronx,10456,2016,4,40.832698,-73.917847,204,16,2002752,2024560181,18102,BX0401
M&G Food Corp.,391 East 167th Street,,Bronx,10456,2016,4,40.830862,-73.910897,204,16,2002074,2024260048,17701,BX0401
Soumandji Meat Fish Market,381 East 169th Street,,Bronx,10456,2016,4,40.834317,-73.909953,204,16,2007151,2027820147,17702,BX0403
Z&F Deli Grocery,3321 Third Avenue,,Bronx,10456,2016,4,40.826215,-73.907857,203,16,2116712,2023697502,18501,BX0301
Angelic Grocery and Deli Corp,305 Jerome St,,Brooklyn,11207,2016,4,40.67425,-73.886974,305,42,3088849,3039980011,1150,BK0502
Dama Food Market,2303 Pitkin Avenue,,Brooklyn,11207,2016,4,40.673169,-73.887315,305,42,3088841,3039970034,1150,BK0502
Danilo's Corp Deli Grocery,731 Schenck Avenue,,Brooklyn,11207,2016,4,40.662374,-73.884828,305,42,3097519,3043310059,1104,BK0503
George Deli & Grocery,710 Georgia Avenue,,Brooklyn,11207,2016,4,40.659602,-73.893566,305,42,3402540,3042960039,1130,BK0503
JLC Deli Grocery,653 Liberty Avenue,,Brooklyn,11207,2016,4,40.676038,-73.885551,305,37,3088356,3039680042,1170,BK0501
Melissa Meat Market,772 Sutter Avenue,,Brooklyn,11207,2016,4,40.670122,-73.890085,305,42,3089672,3040410027,1160,BK0502
Quezada Deli Grocery,570 Van Siclen Avenue,,Brooklyn,11207,2016,4,40.66582,-73.888567,305,42,3090357,3040730052,1124,BK0503
Sajoma Deli Grocery,772 Miller Avenue,,Brooklyn,11207,2016,4,40.661971,-73.887788,305,42,3096720,3043030037,1122,BK0503
"VA Grocery & Deli Corp  
(Brother's Mini Market)",207 Hull Street,,Brooklyn,11207,2016,4,40.679876,-73.908009,316,37,3041784,3015350057,369,BK1601
Wild Olive Market,10 East 125th Street,,New York,10035,2016,4,40.806215,-73.941807,111,9,1085291,1017490066,198,MN1102
Juan Calito Meat Corp./City Fresh,2212 3rd Avenue,,New York,10035,2016,4,40.80083,-73.937926,111,8,1087272,1017697501,196,MN1102
Prince Deli Grocery,1461 5th Avenue,,New York,10035,2016,4,40.80211,-73.945394,111,9,1053946,1017450001,184,MN1102
TSM 2ND Ave Gourmet Deli,248 East 119th street,,New York,10035,2016,4,40.799408,-73.937479,111,8,1054534,1017830028,188,MN1102
Fine Fare Supermarket,2330 1st Avenue,,New York,10035,2016,4,40.798278,-73.933731,111,8,1054882,1018070048,192,MN1102
Viva Deli,2330 1st Avenue,,New York,10035,2016,4,40.798278,-73.933731,111,8,1054882,1018070048,192,MN1102
Abdur Sami,2262 2nd Avenue,,New York,10035,2016,4,40.797155,-73.937651,111,8,1052946,1016880001,188,MN1102
Mis Hijos,2401 2nd Avenue,,New York,10035,2016,4,40.801484,-73.934425,111,8,1054643,1017880022,194,MN1102
Oasis Gourmet Deli,1966 Madison Avenue,,New York,10035,2016,4,40.806313,-73.94024,111,9,1054058,1017500056,198,MN1102
Tasty Pick Deli & Grocery,1878 Lexington Avenue,,New York,10035,2016,4,40.799256,-73.941171,111,8,1052330,1016440156,182,MN1102
K&O Deli Grocery,2288 2nd Avenue,,New York,10035,2016,4,40.797964,-73.937061,111,8,1052985,1016890004,188,MN1102
Finest Food Corp,315 Pleasant Avenue,,New York,10035,2016,4,40.795599,-73.932769,111,8,1053088,1017100029,178,MN1102
2001 GOURMET DELI,2001 CLINTON AVE,,Bronx,10457,2017,5,40.846375,-73.888858,206,15,2012682,2030950057,371,BX0602
347 CHABELY DELI GROCERY,347 E 173RD ST,,Bronx,10457,2017,5,40.84345,-73.905202,204,15,2007331,2027900057,22902,BX0403
ALFONSOS DELI & GROCERY,2236 GRAND CONCOURSE,,Bronx,10457,2017,5,40.856256,-73.90064,205,15,2013718,2031580001,38301,BX0503
AMIGOS GROCERY,551 EAST 172ND ST,,Bronx,10457,2017,5,40.839504,-73.899545,203,15,2009658,2029290082,167,BX0302
FELINO GROCERY,1836 ANTHONY AVE,,Bronx,10457,2017,5,40.847412,-73.903704,205,15,2007579,2028030001,23302,BX0502
FELOMAR GROCERY STORE,154 E 175TH ST,,Bronx,10457,2017,5,40.846798,-73.908111,205,14,2007424,2027960028,22901,BX0502
HABIBI DELI,2070 CLINTON AVE,,Bronx,10457,2017,5,40.847236,-73.888101,206,15,2012652,2030940014,371,BX0602
LOS PALMARITOS DELI GROCERY,2080 VALENTINE AVE,,Bronx,10457,2017,5,40.852753,-73.899897,205,15,2013341,2031440001,379,BX0502
PAULINO GROCERY,4378 3RD AVE,,Bronx,10457,2017,5,40.850821,-73.893958,206,15,2011850,2030620001,37504,BX0602
SAER & JAMAL MARKET 2,563 E TREMONT AVE,,Bronx,10457,2017,5,40.846509,-73.894814,206,15,2011828,2030600050,37504,BX0602
CONCOURSE FOOD PLAZA,2096 GRAND CONCOURSE,,Bronx,10457,2017,5,40.854042,-73.902295,205,15,2013681,2031560102,23502,BX0502
305 GROCERY DELI,305 EAST 181ST ST,,Bronx,10457,2017,5,40.854045,-73.899172,205,15,2013375,2031440045,379,BX0502
551 REY FOOD,551 E 178TH ST,,Bronx,10457,2017,5,40.847528,-73.894599,206,15,2011842,2030610036,37504,BX0602
ALANTE ALANTE DELI GROCERY,207 MT HOPE PL,,Bronx,10457,2017,5,40.848385,-73.905951,205,15,2007592,2028040001,23302,BX0502
BANESA DELI GROCERY 2,2007 ANTHONY AVE,,Bronx,10457,2017,5,40.851468,-73.902885,205,15,2007758,2028130001,23502,BX0502
BODEGA BUILT,601 EAST 180TH STREET,,Bronx,10457,2017,5,40.849394,-73.891375,206,15,2012024,2030700001,373,BX0602
CHICKEN DELI GROCERY,555 EAST 180TH ST,,Bronx,10457,2017,5,40.850351,-73.893326,206,15,2011853,2030620015,37504,BX0602
JJN CORP,1512 WASHINGTON AVE,,Bronx,10457,2017,5,40.837956,-73.90315,203,16,2009543,2029120001,169,BX0302
LOS PRIMOS DELI GROCERY,1798 CROTONA AVE,,Bronx,10457,2017,5,40.842792,-73.893526,206,15,2009916,2029480001,36902,BX0602
ZAEL DELI & GROCERY,2160 TIEBOUT AVE,,Bronx,10457,2017,5,40.854091,-73.898554,205,15,2013317,2031430130,38303,BX0503
FINE FARE SUPERMARKET,708 E TREMONT AVE,,Bronx,10457,2017,5,40.845227,-73.890771,206,15,2009975,2029500054,36901,BX0602
C & T DELI GROCERY STORE,2275 WASHINGTON AVE,,Bronx,10457,2017,5,40.854929,-73.89342,206,15,2011339,2030380027,385,BX0603
C-TOWN,309 E BURNSIDE AVE,,Bronx,10457,2017,5,40.850588,-73.901133,205,15,2013524,2031490068,381,BX0502
LOS PRIMOS GROCERY,1965 WEBSTER AVE,,Bronx,10457,2017,5,40.849462,-73.899949,205,15,2013301,2031420094,379,BX0502
269 MINI MARKET & DELI,269 E BURNSIDE AVE,,Bronx,10457,2017,5,40.851333,-73.902133,205,15,2013676,2031567501,381,BX0502
JR 2121 DELI GROCERY,2121 BELMONT AVE,,Bronx,10457,2017,5,40.849172,-73.889446,206,15,2012356,2030810013,373,BX0602
BBB DELI GROCERY,214B E 180TH ST,,Bronx,10457,2017,5,40.853232,-73.901971,205,15,2013632,2031560018,23502,BX0502
DIAZ DELI GROCERY,306 E 178TH ST,,Bronx,10457,2017,5,40.849999,-73.902497,205,15,2007766,2028140029,381,BX0502
LA ANTILLANA MEAT WAREHOUSE,245 E TREMONT AVE,,Bronx,10457,2017,5,40.848922,-73.904407,205,15,2007717,2028090045,23502,BX0502
JADE FOOD CENTER,3822 3RD AVE,,Bronx,10457,2017,5,40.837875,-73.901412,203,16,2009644,2029280012,169,BX0302
OJ DELI GROCERY,230 E 174TH ST,,Bronx,10457,2017,5,40.84472,-73.907427,204,15,2007368,2027920037,22902,BX0403
LA BODEGUITA DE ROSAURA,160 E 174TH ST,,Bronx,10457,2017,5,40.844817,-73.909238,204,15,2007398,2027940042,22902,BX0403
EXPRESS MARKET,469 E TREMONT AVE,,Bronx,10457,2017,5,40.847075,-73.898247,206,15,2011246,2030340046,395,BX0602
3 Sisters Deli Grocery,269 Dumont Ave,,Brooklyn,11212,2017,5,40.664065,-73.909566,316,41,3081792,3035600048,924,BK1602
702 Livonia Ave Deli,702 Rockaway Ave,,Brooklyn,11212,2017,5,40.662769,-73.908984,316,41,3081941,3035750001,924,BK1602
Chester Food Market,241 Blake Ave,,Brooklyn,11212,2017,5,40.665518,-73.910487,316,41,3081443,3035430001,924,BK1602
MJT Grocery Store,666 Rockaway Ave,,Brooklyn,11212,2017,5,40.663255,-73.909106,316,41,3326506,3035750011,924,BK1602
Blessings Food Corp.,578 Rockaway Ave,,Brooklyn,11212,2017,5,40.665951,-73.909795,316,41,3326651,3035430043,924,BK1602
Rockaway Deli Food Corp.,674 Rockaway Ave,,Brooklyn,11212,2017,5,40.663148,-73.909077,316,41,3326506,3035750011,924,BK1602
El Especial Deli & Gril,774 Rockaway Ave,,Brooklyn,11212,2017,5,40.66071,-73.908457,316,41,3393959,3036027501,916,BK1602
Friendly Food & Grocery,784 Saratoga Ave,,Brooklyn,11212,2017,5,40.661305,-73.91542,316,41,3326659,3035820032,894,BK1602
Sanaa Express Grocery,245 Riverdale Ave,,Brooklyn,11212,2017,5,40.661129,-73.907812,316,41,3082151,3035900001,918,BK1602
Cherry Valley,381 Mother Gaston Blvd,,Brooklyn,11212,2017,5,40.669745,-73.906859,316,41,3083889,3037260008,908,BK1602
Jamao Grocery,174 Blake Ave,,Brooklyn,11212,2017,5,40.665097,-73.913206,316,41,3081748,3035570025,898,BK1602
Los Primos Grocery,57 Sutter Ave,,Brooklyn,11212,2017,5,40.665613,-73.920587,316,41,3080851,3035100076,900,BK1602
39 Lott Grocery,39 Lott Ave,,Brooklyn,11212,2017,5,40.657233,-73.912564,316,41,3082435,3036090001,896,BK1602
51 Deli & Grocery NYC,51 Hegeman Ave,,Brooklyn,11212,2017,5,40.655828,-73.910331,316,42,3082720,3036220001,896,BK1602
77 Hegeman Mini Market,77 Hegeman Ave,,Brooklyn,11212,2017,5,40.655981,-73.909322,316,42,3082734,3036230001,916,BK1602
Glen Deli & Grocery,55 Hegeman Ave,,Brooklyn,11212,2017,5,40.655883,-73.909981,316,42,3082735,3036230008,916,BK1602
Associated supermarket,103 Hegeman Ave,,Brooklyn,11212,2017,5,40.656153,-73.908172,316,42,3082814,3036250004,916,BK1602
Hidayat Deli Grocery,1111 Rutland Rd,,Brooklyn,11212,2017,5,40.664805,-73.923119,317,41,3099558,3046000038,892,BK1704
T&L Deli & Grocery,1067 Rutland Rd,,Brooklyn,11212,2017,5,40.663944,-73.924439,317,41,3099544,3045990043,892,BK1704
Bravo Supermarket,80 E 93Rd St,,Brooklyn,11212,2017,5,40.662455,-73.926964,317,41,3346868,3045950215,882,BK1704
Associated Supermarket,190 E 98th St,,Brooklyn,11212,2017,5,40.66264,-73.92032,317,41,3100736,3046330013,892,BK1704
Boston MiniMarket,9424 Kings Highway,,Brooklyn,11212,2017,5,40.658474,-73.920581,317,41,3101192,3046490040,886,BK1704
Clarkson Food,1125 Clarkson Ave,,Brooklyn,11212,2017,5,40.660467,-73.92113,317,41,3100676,3046310038,884,BK1704
New Way Supermarket,1167 Lenox Rd,,Brooklyn,11212,2017,5,40.659951,-73.917592,317,41,3101284,3046520039,890,BK1704
Star Two Deli,994 Winthrop St,,Brooklyn,11212,2017,5,40.659738,-73.926577,317,41,3100381,3046260006,866,BK1703
Ameer Food Market,9527 Church Ave,,Brooklyn,11212,2017,5,40.655331,-73.916044,317,41,3102640,3046920044,890,BK1704
El Flaco Food,1093 Linden Blvd,,Brooklyn,11212,2017,5,40.654327,-73.917775,317,41,3102539,3046900010,888,BK1704
La Linda Deli Grocery,1157 Willmohr St,,Brooklyn,11212,2017,5,40.658163,-73.915979,317,41,3101976,3046720034,890,BK1704
9323 Linden Deli Food,9323 Church Ave,,Brooklyn,11212,2017,5,40.654538,-73.917263,317,41,3102536,3046900001,888,BK1704
420 Royal Deli,420B Mother Gaston Blvd,,Brooklyn,11212,2017,5,40.668668,-73.906604,316,41,,,906,BK1602
Leonardo Deli Grocery,441 Mother Gaston Blvd,,Brooklyn,11212,2017,5,40.668248,-73.906479,316,41,3084005,3037430007,908,BK1602
C-Town,29 Belmont Ave,,Brooklyn,11212,2017,5,40.668607,-73.909221,316,41,3081095,3035230037,906,BK1602
Moreno Mini Market,113 Belmont Ave,,Brooklyn,11212,2017,5,40.669077,-73.906038,316,41,3083894,3037260034,908,BK1602
Bridge Deli & Grocery,1861 Pitkin Ave,,Brooklyn,11212,2017,5,40.670686,-73.904064,316,37,3083747,3037120001,908,BK1602
Eye Deli & Grocery,1540 E New York Ave,,Brooklyn,11212,2017,5,40.672108,-73.911243,316,41,3329485,3034890120,906,BK1602
Family Express Deli & Grocery,112 Watkins St,,Brooklyn,11212,2017,5,40.670289,-73.90803,316,41,3338511,3034890250,906,BK1602
Golden Deli,1569 E New York Ave,,Brooklyn,11212,2017,5,40.672599,-73.910121,316,41,3039273,3014610027,363,BK1601
New Friends Gourmet Deli,1788 Pitkin Ave,,Brooklyn,11212,2017,5,40.670222,-73.907074,316,41,3397503,3035250017,906,BK1602
Yoha Mini Market,78 Thatford Ave,,Brooklyn,11212,2017,5,40.670019,-73.909865,316,41,3326574,3034890228,906,BK1602
Pitikin Ave Deli & Grocery,1801 Pitkin Ave,,Brooklyn,11212,2017,5,40.670326,-73.906487,316,37,3083739,3037090032,908,BK1602
Ideal Food Basket,1488 Pitkin Ave,,Brooklyn,11212,2017,5,40.668494,-73.91872,316,41,3080901,3035130033,900,BK1602
Caba Deli Grocery,1419 E New York Ave,,Brooklyn,11212,2017,5,40.67024,-73.915567,316,41,3039487,3014720025,361,BK1601
El Cibao,38 Herzl St,,Brooklyn,11212,2017,5,40.669062,-73.915457,316,41,3326460,3034940028,902,BK1602
Shop Fair Supermarket,256 Livonia Ave,,Brooklyn,11212,2017,5,40.662618,-73.908433,316,41,3082153,3035900016,918,BK1602
Food Bazaar,417 Junius St,,Brooklyn,11212,2017,5,40.664415,-73.901629,316,42,3084597,3037980025,910,BK1602
Pioneer Supermarket,455 Sutter Ave,,Brooklyn,11212,2017,5,40.66833,-73.90229,316,37,3394366,3037470001,908,BK1602
Airon Food Market,44 New Lots Ave,,Brooklyn,11212,2017,5,40.657215,-73.903452,316,42,3085891,3038600001,920,BK1602
Giselle Mini Market,1697 E New York Ave,,Brooklyn,11212,2017,5,40.674615,-73.905514,316,37,3038833,3014440041,36502,BK1601
Powell Supermarket,323 Powell St,,Brooklyn,11212,2017,5,40.666434,-73.90314,316,42,3084420,3037800020,910,BK1602
Green Village Meat Farm,229 Tapscott St,,Brooklyn,11212,2017,5,40.662211,-73.919589,316,41,3394445,3035650015,892,BK1704
Anabelle Deli Grocery,2121 2nd Ave,,New York,10029,2017,5,40.792729,-73.940913,111,8,1052437,1016590021,180,MN1102
Cherry Gourmet Deli,1575 Lexington Ave,,New York,10029,2017,5,40.78874,-73.948825,111,8,1051813,1016280050,166,MN1101
Cherry Valley Supermarket,1968 2nd Ave,,New York,10029,2017,5,40.787585,-73.944655,111,8,1081358,1016730001,164,MN1101
